,date,prcp,month
2363,2016-08-23,0.0,2016-08-23 00:00:00
2364,2016-08-24,0.08,2016-08-24 00:00:00
2365,2016-08-25,0.08,2016-08-25 00:00:00
2366,2016-08-26,0.0,2016-08-26 00:00:00
2367,2016-08-27,0.0,2016-08-27 00:00:00
2368,2016-08-28,0.01,2016-08-28 00:00:00
2369,2016-08-29,0.0,2016-08-29 00:00:00
2370,2016-08-30,0.0,2016-08-30 00:00:00
2371,2016-08-31,0.13,2016-08-31 00:00:00
2372,2016-09-01,0.0,2016-09-01 00:00:00
2373,2016-09-02,0.0,2016-09-02 00:00:00
2374,2016-09-03,0.0,2016-09-03 00:00:00
2375,2016-09-04,0.03,2016-09-04 00:00:00
2376,2016-09-05,0.05,2016-09-05 00:00:00
2377,2016-09-06,0.05,2016-09-06 00:00:00
2378,2016-09-07,0.05,2016-09-07 00:00:00
2379,2016-09-08,0.0,2016-09-08 00:00:00
2380,2016-09-09,0.03,2016-09-09 00:00:00
2381,2016-09-10,0.0,2016-09-10 00:00:00
2382,2016-09-11,0.05,2016-09-11 00:00:00
2383,2016-09-12,0.0,2016-09-12 00:00:00
2384,2016-09-13,0.02,2016-09-13 00:00:00
2385,2016-09-14,1.32,2016-09-14 00:00:00
2386,2016-09-15,0.42,2016-09-15 00:00:00
2387,2016-09-16,0.06,2016-09-16 00:00:00
2388,2016-09-17,0.05,2016-09-17 00:00:00
2389,2016-09-18,0.0,2016-09-18 00:00:00
2390,2016-09-19,0.0,2016-09-19 00:00:00
2391,2016-09-20,0.0,2016-09-20 00:00:00
2392,2016-09-21,0.0,2016-09-21 00:00:00
2393,2016-09-22,0.02,2016-09-22 00:00:00
2394,2016-09-23,0.0,2016-09-23 00:00:00
2395,2016-09-24,0.0,2016-09-24 00:00:00
2396,2016-09-25,0.0,2016-09-25 00:00:00
2397,2016-09-26,0.06,2016-09-26 00:00:00
2398,2016-09-27,0.02,2016-09-27 00:00:00
2399,2016-09-28,0.0,2016-09-28 00:00:00
2400,2016-09-29,0.0,2016-09-29 00:00:00
2401,2016-09-30,0.0,2016-09-30 00:00:00
2402,2016-10-01,0.0,2016-10-01 00:00:00
2403,2016-10-02,0.0,2016-10-02 00:00:00
2404,2016-10-03,0.0,2016-10-03 00:00:00
2405,2016-10-04,0.0,2016-10-04 00:00:00
2406,2016-10-05,0.0,2016-10-05 00:00:00
2407,2016-10-06,0.0,2016-10-06 00:00:00
2408,2016-10-07,0.0,2016-10-07 00:00:00
2409,2016-10-08,0.0,2016-10-08 00:00:00
2410,2016-10-09,0.0,2016-10-09 00:00:00
2411,2016-10-10,0.0,2016-10-10 00:00:00
2412,2016-10-11,0.0,2016-10-11 00:00:00
2413,2016-10-12,0.0,2016-10-12 00:00:00
2414,2016-10-13,0.0,2016-10-13 00:00:00
2415,2016-10-14,0.0,2016-10-14 00:00:00
2416,2016-10-15,0.0,2016-10-15 00:00:00
2417,2016-10-16,0.0,2016-10-16 00:00:00
2418,2016-10-17,0.01,2016-10-17 00:00:00
2419,2016-10-18,0.0,2016-10-18 00:00:00
2420,2016-10-19,0.0,2016-10-19 00:00:00
2421,2016-10-20,0.0,2016-10-20 00:00:00
2422,2016-10-21,0.05,2016-10-21 00:00:00
2423,2016-10-22,0.15,2016-10-22 00:00:00
2424,2016-10-23,0.01,2016-10-23 00:00:00
2425,2016-10-24,0.0,2016-10-24 00:00:00
2426,2016-10-25,0.03,2016-10-25 00:00:00
2427,2016-10-26,0.0,2016-10-26 00:00:00
2428,2016-10-27,0.0,2016-10-27 00:00:00
2429,2016-10-28,0.0,2016-10-28 00:00:00
